image_name,resnet18,resnet50,resnet101
1.JPEG,172.25401306152344,735.0735473632812,693.65576171875
2.JPEG,179.13580322265625,719.2810668945312,697.2125854492188
3.JPEG,172.5323486328125,700.02392578125,727.6876831054688
4.JPEG,178.44277954101562,691.4978637695312,716.0327758789062
5.JPEG,151.42666625976562,740.64501953125,746.3489379882812
6.JPEG,163.3248748779297,720.5182495117188,715.8021240234375
7.JPEG,160.16122436523438,676.8544921875,719.6929321289062
8.JPEG,163.28543090820312,714.412353515625,709.7999877929688
9.JPEG,176.7293701171875,692.7146606445312,694.5806274414062
10.JPEG,168.24200439453125,691.0557250976562,722.9178466796875
11.JPEG,152.4271240234375,745.2384033203125,729.812744140625
12.JPEG,161.32260131835938,718.2224731445312,721.4976196289062
13.JPEG,178.76905822753906,703.7299194335938,657.4442138671875
14.JPEG,160.67636108398438,678.9319458007812,733.4928588867188
15.JPEG,173.32481384277344,722.5750732421875,740.7733154296875
16.JPEG,175.85850524902344,735.5309448242188,705.9526977539062
17.JPEG,177.3705596923828,692.8436279296875,748.5612182617188
18.JPEG,178.88905334472656,723.2980346679688,701.687744140625
19.JPEG,177.4527130126953,702.7482299804688,705.6000366210938
20.JPEG,165.6328887939453,723.2879638671875,691.35400390625
21.JPEG,171.05462646484375,763.6874389648438,695.7348022460938
22.JPEG,175.18649291992188,743.2897338867188,746.35400390625
23.JPEG,169.62632751464844,699.2163696289062,693.4968872070312
24.JPEG,168.32943725585938,698.728271484375,725.73974609375
25.JPEG,162.30859375,715.2177124023438,726.4675903320312
26.JPEG,174.7914581298828,697.8502197265625,744.0743408203125
27.JPEG,192.7883758544922,706.4330444335938,655.5534057617188
28.JPEG,162.54432678222656,715.5123291015625,693.9177856445312
29.JPEG,167.94964599609375,718.2418823242188,717.7615966796875
30.JPEG,179.19837951660156,662.4380493164062,749.6924438476562
31.JPEG,170.8346710205078,738.4127807617188,685.8052978515625
32.JPEG,173.78883361816406,730.4049072265625,723.7387084960938
33.JPEG,173.96495056152344,735.8822631835938,773.2139892578125
34.JPEG,160.05691528320312,710.2642211914062,743.6799926757812
35.JPEG,175.6956329345703,717.5957641601562,755.1173095703125
36.JPEG,177.04666137695312,704.1945190429688,690.2654418945312
37.JPEG,189.47113037109375,698.1329956054688,723.6469116210938
38.JPEG,184.73141479492188,735.7986450195312,742.4488525390625
39.JPEG,186.827392578125,667.9935302734375,692.5787353515625
40.JPEG,192.17681884765625,691.9411010742188,742.8988647460938
41.JPEG,183.0987548828125,726.4122924804688,751.2944946289062
42.JPEG,170.723388671875,696.7391357421875,708.1103515625
43.JPEG,196.85507202148438,745.8790283203125,751.3463745117188
44.JPEG,169.990966796875,734.1759033203125,741.5606079101562
45.JPEG,174.92828369140625,676.2781372070312,750.3717651367188
46.JPEG,174.09994506835938,700.7803344726562,698.4359130859375
47.JPEG,176.68759155273438,736.8280029296875,721.2476806640625
48.JPEG,172.66265869140625,745.517333984375,744.0961303710938
49.JPEG,184.1442413330078,728.2876586914062,729.8661499023438
50.JPEG,198.6451873779297,702.1718139648438,737.8226318359375
51.JPEG,165.359130859375,724.65625,726.577392578125
52.JPEG,190.94073486328125,701.0975952148438,681.4315795898438
53.JPEG,178.17369079589844,682.2036743164062,700.3330688476562
54.JPEG,158.33970642089844,743.1271362304688,719.7833251953125
55.JPEG,161.6444854736328,688.12451171875,739.787109375
56.JPEG,156.29547119140625,729.3364868164062,742.481689453125
57.JPEG,178.42837524414062,725.904052734375,697.0637817382812
58.JPEG,173.06785583496094,708.5635375976562,695.340576171875
59.JPEG,161.57032775878906,702.6372680664062,723.0689697265625
60.JPEG,162.24151611328125,722.3504638671875,716.3506469726562
61.JPEG,168.14447021484375,751.2898559570312,701.3291625976562
62.JPEG,182.8570556640625,742.4228515625,705.1029052734375
63.JPEG,168.58680725097656,712.9137573242188,709.6171264648438
64.JPEG,167.91885375976562,704.5948486328125,698.18408203125
65.JPEG,175.59210205078125,708.3700561523438,661.501220703125
66.JPEG,169.0643310546875,737.8161010742188,716.1625366210938
67.JPEG,166.43409729003906,750.6146850585938,683.2943115234375
68.JPEG,195.58799743652344,694.8414916992188,721.4750366210938
69.JPEG,174.60023498535156,737.6917724609375,699.870849609375
70.JPEG,175.503662109375,713.4278564453125,725.3336181640625
71.JPEG,162.09893798828125,656.0949096679688,691.9006958007812
72.JPEG,153.2421417236328,692.0379028320312,718.6801147460938
73.JPEG,181.72943115234375,685.8425903320312,701.9129638671875
74.JPEG,158.28900146484375,705.7901000976562,713.7994995117188
75.JPEG,170.84474182128906,651.3018188476562,675.85791015625
76.JPEG,183.2371063232422,733.9039306640625,730.8796997070312
77.JPEG,164.38082885742188,781.3696899414062,777.014404296875
78.JPEG,155.07516479492188,690.5839233398438,711.2156982421875
79.JPEG,167.00894165039062,697.26318359375,722.765380859375
80.JPEG,171.89151000976562,729.5809326171875,719.6813354492188
81.JPEG,170.62332153320312,692.9088134765625,650.141357421875
82.JPEG,181.86126708984375,729.4255981445312,720.2283325195312
83.JPEG,176.68646240234375,684.6438598632812,725.13916015625
84.JPEG,165.30213928222656,700.2477416992188,700.4639282226562
85.JPEG,162.8163299560547,694.44677734375,688.2383422851562
86.JPEG,177.9371795654297,733.7831420898438,714.055908203125
87.JPEG,186.77227783203125,731.7639770507812,689.635009765625
88.JPEG,170.1941375732422,747.0070190429688,745.890380859375
89.JPEG,179.17276000976562,729.109130859375,719.845703125
90.JPEG,176.2313690185547,701.458251953125,734.941650390625
91.JPEG,170.20823669433594,677.385009765625,687.9752807617188
92.JPEG,176.14837646484375,705.6778564453125,744.6845092773438
93.JPEG,180.20755004882812,691.9711303710938,720.3558959960938
94.JPEG,176.25897216796875,752.5993041992188,712.6688232421875
95.JPEG,160.03414916992188,685.599609375,743.11962890625
96.JPEG,158.13389587402344,688.5478515625,729.9871826171875
97.JPEG,169.35569763183594,666.2319946289062,668.8806762695312
98.JPEG,180.26220703125,723.9822387695312,698.4368286132812
99.JPEG,173.8426971435547,746.086669921875,721.3019409179688
100.JPEG,160.88287353515625,697.3662719726562,722.013916015625
101.JPEG,175.96917724609375,697.3043212890625,721.7919311523438
102.JPEG,157.90643310546875,713.5225830078125,690.0701904296875
103.JPEG,169.83815002441406,704.3270874023438,753.7386474609375
104.JPEG,174.8765106201172,710.8873901367188,741.7881469726562
105.JPEG,177.4527130126953,659.3978881835938,752.1974487304688
106.JPEG,163.23350524902344,678.2688598632812,651.95703125
107.JPEG,161.85421752929688,729.7388305664062,715.9772338867188
108.JPEG,167.03773498535156,705.5221557617188,747.7874755859375
109.JPEG,189.7737579345703,681.0255126953125,694.9100952148438
110.JPEG,172.476806640625,709.1470947265625,738.6865234375
111.JPEG,179.182373046875,710.5159301757812,706.6930541992188
112.JPEG,167.26596069335938,755.2947387695312,715.220703125
113.JPEG,170.53018188476562,705.3395385742188,709.5868530273438
114.JPEG,164.25747680664062,716.7738647460938,722.2418212890625
115.JPEG,171.5448455810547,740.3973999023438,721.5421752929688
116.JPEG,175.99876403808594,685.6357421875,729.5897827148438
117.JPEG,174.3834991455078,717.5092163085938,742.784423828125
118.JPEG,167.7722930908203,706.5525512695312,737.590576171875
119.JPEG,162.0785369873047,743.8296508789062,685.1670532226562
120.JPEG,163.8732147216797,716.5986938476562,725.4553833007812
121.JPEG,174.1640625,708.6028442382812,672.88330078125
122.JPEG,169.38682556152344,683.9794921875,768.4950561523438
123.JPEG,158.287841796875,749.3800048828125,731.1746215820312
124.JPEG,177.71495056152344,681.77880859375,674.7935791015625
125.JPEG,179.8889617919922,667.425537109375,719.4637451171875
126.JPEG,185.1168670654297,717.4759521484375,688.4653930664062
127.JPEG,156.4361114501953,723.5778198242188,663.5140991210938
128.JPEG,149.3671417236328,703.1212768554688,751.8956909179688
129.JPEG,180.16033935546875,769.9476928710938,698.1986694335938
130.JPEG,173.08712768554688,709.365234375,737.5694580078125
131.JPEG,177.91928100585938,646.7302856445312,694.5303344726562
132.JPEG,179.75929260253906,724.3297119140625,656.8028564453125
133.JPEG,179.65516662597656,711.3026123046875,705.90576171875
134.JPEG,167.27102661132812,684.32568359375,727.593505859375
135.JPEG,182.59976196289062,723.6992797851562,744.1163330078125
136.JPEG,168.51278686523438,700.8897094726562,712.0120849609375
137.JPEG,187.48170471191406,739.84423828125,735.4677124023438
138.JPEG,159.4425506591797,701.2951049804688,725.662353515625
139.JPEG,162.3013153076172,687.88525390625,761.0479736328125
140.JPEG,163.3091583251953,744.8128051757812,718.14453125
141.JPEG,184.10621643066406,727.3314208984375,714.5560913085938
142.JPEG,162.7720184326172,688.4561157226562,730.52099609375
143.JPEG,157.9527130126953,671.7830810546875,741.6435546875
144.JPEG,165.26480102539062,675.4197998046875,717.5950317382812
145.JPEG,164.56069946289062,751.90966796875,711.70068359375
146.JPEG,165.51626586914062,750.345703125,670.0374755859375
147.JPEG,161.7183380126953,719.7354736328125,700.1092529296875
148.JPEG,176.12391662597656,707.6553955078125,729.4993896484375
149.JPEG,178.04904174804688,711.5115966796875,711.281005859375
150.JPEG,172.94444274902344,692.335205078125,707.8347778320312
151.JPEG,162.48074340820312,751.9693603515625,706.426513671875
152.JPEG,176.9233856201172,704.989013671875,740.7380981445312
153.JPEG,167.43141174316406,708.552001953125,731.0307006835938
154.JPEG,165.5849609375,750.7227783203125,702.41748046875
155.JPEG,178.24708557128906,644.6881103515625,727.8675537109375
156.JPEG,171.50306701660156,762.5549926757812,651.8961791992188
157.JPEG,171.56602478027344,717.741455078125,687.4105834960938
158.JPEG,167.3762664794922,709.0662841796875,737.2086181640625
159.JPEG,181.71902465820312,748.7103271484375,753.3504028320312
160.JPEG,187.49966430664062,712.0079345703125,731.5237426757812
161.JPEG,170.38641357421875,706.3455200195312,662.5444946289062
162.JPEG,173.05239868164062,705.9900512695312,738.5032958984375
163.JPEG,157.98243713378906,688.9696044921875,741.106689453125
164.JPEG,157.26211547851562,762.0089111328125,709.2471313476562
165.JPEG,166.8422393798828,657.7562255859375,748.110595703125
166.JPEG,181.1640167236328,709.4110107421875,703.6094970703125
167.JPEG,169.34344482421875,687.0167846679688,742.9385986328125
168.JPEG,174.2124481201172,696.5109252929688,687.0302124023438
169.JPEG,161.66468811035156,685.5419921875,699.7447509765625
170.JPEG,183.30213928222656,693.96533203125,798.2822875976562
171.JPEG,168.91683959960938,722.012939453125,747.0216064453125
172.JPEG,192.1487274169922,721.3101806640625,703.7987670898438
173.JPEG,171.30487060546875,709.6405029296875,697.8585205078125
174.JPEG,186.0302734375,731.240478515625,738.3575439453125
175.JPEG,176.59059143066406,691.8008422851562,759.3004150390625
176.JPEG,177.091552734375,696.961181640625,743.9589233398438
177.JPEG,160.76060485839844,806.897705078125,753.6652221679688
178.JPEG,177.1072540283203,720.5272216796875,751.0177001953125
179.JPEG,159.99365234375,717.2514038085938,738.1279907226562
180.JPEG,169.6533660888672,726.3363037109375,692.4641723632812
181.JPEG,185.63851928710938,745.589599609375,753.0713500976562
182.JPEG,172.33193969726562,733.3689575195312,760.8384399414062
183.JPEG,168.2826385498047,707.8574829101562,687.478271484375
184.JPEG,168.42543029785156,703.5642700195312,730.5354614257812
185.JPEG,174.21697998046875,706.6384887695312,755.0147094726562
186.JPEG,173.14425659179688,739.0999145507812,694.0482788085938
187.JPEG,171.562255859375,723.2114868164062,722.5615844726562
188.JPEG,164.5076141357422,664.1983642578125,693.506591796875
189.JPEG,165.05751037597656,699.5810546875,689.435791015625
190.JPEG,183.0565948486328,715.3844604492188,728.0386962890625
191.JPEG,167.76394653320312,752.6652221679688,729.5048217773438
192.JPEG,172.16961669921875,688.6812133789062,724.536865234375
193.JPEG,168.38815307617188,761.8566284179688,751.3231201171875
194.JPEG,176.54586791992188,700.3551025390625,708.2388305664062
195.JPEG,178.4387969970703,720.3036499023438,728.6734008789062
196.JPEG,178.05128479003906,656.60107421875,720.9337158203125
197.JPEG,154.55038452148438,764.1175537109375,693.3157958984375
198.JPEG,162.38796997070312,738.2978515625,666.7794799804688
199.JPEG,192.02584838867188,741.389404296875,744.0333251953125
200.JPEG,177.10714721679688,685.8590698242188,642.1182861328125
